55,547,844 (100.0%)  PROGRAM TOTALS
    79,360 ( 0.14%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/iter/macros.rs:zlib_rs::inflate::inftrees::inflate_table
    79,040 ( 0.14%)  /rustc/48a229ceaefd4985c50990b14116b6d856af0985/library/alloc/src/raw_vec/mod.rs:<alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global> [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
    78,800 ( 0.14%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/memchr-2.8.3/src/arch/x86_64/avx2/memchr.rs:<memchr::arch::x86_64::avx2::memchr::Three>::find_raw [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
    78,320 ( 0.14%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/events/attributes.rs:<quick_xml::name::NamespaceResolver>::push
    78,080 ( 0.14%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/hash/sip.rs:<std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&str>
    77,720 ( 0.14%)  /rustc/48a229ceaefd4985c50990b14116b6d856af0985/library/core/src/num/mod.rs:core::slice::memchr::memchr_aligned
    77,000 ( 0.14%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/str/validations.rs:<litchi_opc::members::PartNameIndex>::insert
    76,840 ( 0.14%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ptr/non_null.rs:soapberry_zip::office::normalize_str_fallibly
    76,760 ( 0.14%)  /rustc/48a229ceaefd4985c50990b14116b6d856af0985/library/alloc/src/string.rs:<alloc::string::String as core::clone::Clone>::clone [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
    76,480 ( 0.14%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/option.rs:zlib_rs::inflate::inftrees::inflate_table
    71,400 ( 0.13%)  /home/zhuhe/code/litchi-worktrees/before-08d968f8e/crates/litchi-opc/src/pkgreader.rs:litchi_opc::pkgreader::is_xml_id
    68,680 ( 0.12%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/iter/macros.rs:soapberry_zip::office::normalize_str_fallibly
    67,800 ( 0.12%)  /rustc/48a229ceaefd4985c50990b14116b6d856af0985/library/alloc/src/string.rs:<alloc::string::String as core::fmt::Write>::write_str [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
    67,640 ( 0.12%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/name.rs:<quick_xml::name::NamespaceResolver>::resolve_event [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
    67,080 ( 0.12%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ptr/non_null.rs:<litchi_opc::packuri::PackURI>::new::<alloc::string::String>
    66,800 ( 0.12%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/alloc/src/raw_vec/mod.rs:<litchi_opc::members::PartNameIndex>::insert
    66,520 ( 0.12%)  /home/zhuhe/code/litchi-worktrees/before-08d968f8e/crates/litchi-opc/src/members.rs:<litchi_opc::members::PartNameIndex>::insert [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
    66,360 ( 0.12%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/reader/ns_reader.rs:<quick_xml::reader::ns_reader::NsReader<&[u8]>>::read_event_impl::<()> [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
    65,320 ( 0.12%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/adapters/skip.rs:<litchi_opc::packuri::PackURI>::new::<alloc::string::String>
    64,960 ( 0.12%)  /home/zhuhe/code/litchi-worktrees/before-08d968f8e/crates/soapberry-zip/src/office.rs:soapberry_zip::office::lookup_member_name [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
    63,960 ( 0.12%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/char/methods.rs:<core::str::iter::Chars as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::any::check<char, <char>::is_control>::{closure#0}, core::ops::control_flow::ControlFlow<()>>
    62,124 ( 0.11%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/../../stdarch/crates/core_arch/src/x86/avx2.rs:<memchr::arch::x86_64::avx2::memchr::Three>::find_raw_avx2
