op,leg,reps,rep,cycles,instructions,branch_misses,dtlb_load_misses,page_faults
eager_noprep_paragraph_count,base,1,3,77619781,94195312,78436,75592,16597
eager_noprep_paragraph_count,rev0592,0,4,80085803,92061377,75461,75775,16599
eager_noprep_paragraph_count,rev0592,1,4,82542622,94313268,78722,75913,16599
eager_noprep_paragraph_count,base,0,4,80646497,92077773,80576,76016,16598
eager_noprep_paragraph_count,base,1,4,80890397,94526229,79583,75813,16597
eager_noprep_paragraph_count,rev0592,0,5,78904961,91970145,77609,76036,16599
eager_noprep_paragraph_count,rev0592,1,5,81750634,94133155,77927,76149,16597
eager_noprep_paragraph_count,base,0,5,78198126,92002417,76400,75845,16596
eager_noprep_paragraph_count,base,1,5,81220599,94237479,78383,75893,16597
eager_noprep_paragraph_count,rev0592,0,6,77719559,91890740,74831,75805,16599
eager_noprep_paragraph_count,rev0592,1,6,80689905,94211708,77751,75858,16598
eager_noprep_paragraph_count,base,0,6,79887190,92102722,95132,76140,16598
