fixture	route	before_status	before_field1	before_field2	after_status	after_field1	after_field2	control_status	control_field1	control_field2	differs_raw	differs_normalized
test-data/libreoffice-core/sc/qa/unit/data/xlsx/freezePaneStartCell.xlsx	xlsx_edit_save	OK	7739	11	OK	7739	11	OK	7739	11	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/freezePaneStartCell.xlsx	xlsx_noop_save	OK	7730	11	OK	7730	11	OK	7730	11	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/freezePaneStartCell.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	1	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/freezePaneStartCell.xlsx	xlsx_source_backed_tab_state	OK	7730	11	OK	7730	11	OK	7730	11	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx	xlsx_edit_save	OK	16883	16	OK	16883	16	OK	16883	16	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx	xlsx_noop_save	OK	16883	16	OK	16883	16	OK	16883	16	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	1	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx	xlsx_source_backed_tab_state	OK	16883	16	OK	16883	16	OK	16883	16	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/page_scale.xlsx	xlsx_edit_save	OK	4358	8	OK	4358	8	OK	4358	8	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/page_scale.xlsx	xlsx_noop_save	OK	4243	8	OK	4243	8	OK	4243	8	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/page_scale.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/page_scale.xlsx	xlsx_source_backed_tab_state	OK	4243	8	OK	4243	8	OK	4243	8	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/queryTableExport.xlsx	xlsx_edit_save	OK	8610	14	OK	8610	14	OK	8610	14	0	0
